日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20181223,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3015.50,3040.35,3007.33,3038.20,8.80,0.29,5729.96,638.81,300
20181224,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3015.50,3040.35,3007.33,3038.20,8.80,0.29,5729.96,638.81,300
20181225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3006.88,3030.14,2964.88,3017.28,-20.92,-0.69,7868.94,804.14,300
20181226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3012.87,3029.06,2996.48,3002.03,-15.25,-0.51,5564.70,585.75,300
20181227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3042.95,3047.23,2990.51,2990.51,-11.53,-0.38,8054.18,811.59,300
20181228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2994.80,3024.35,2984.82,3010.65,20.15,0.67,7105.38,781.45,300
20190102,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3017.07,3018.78,2958.49,2969.54,-41.12,-1.37,6866.30,761.06,300
20190103,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2963.02,3000.44,2953.25,2964.84,-4.69,-0.16,7086.71,766.65,300
20190104,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2940.19,3036.81,2935.83,3035.87,71.03,2.40,10331.90,1071.41,300
20190107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3055.15,3061.75,3035.91,3054.30,18.43,0.61,10116.44,1057.04,300
20190108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3049.87,3055.51,3038.53,3047.70,-6.60,-0.22,8617.06,796.29,300
20190109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3065.23,3117.96,3062.85,3078.48,30.77,1.01,10736.44,1171.30,300
20190110,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3077.48,3092.54,3062.57,3072.69,-5.79,-0.19,8527.18,902.07,300
20190111,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3082.26,3102.83,3071.03,3094.78,22.09,0.72,7178.64,774.20,300
20190114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3092.50,3097.41,3064.38,3067.78,-26.99,-0.87,6612.17,681.16,300
20190115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3071.52,3129.37,3064.67,3127.99,60.21,1.96,8877.30,999.77,300
20190116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3126.13,3135.01,3117.29,3128.65,0.66,0.02,8021.43,857.82,300
20190117,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3132.63,3141.71,3110.06,3111.42,-17.23,-0.55,8017.49,828.88,300
20190118,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3124.50,3171.69,3120.35,3168.17,56.76,1.82,10396.38,1067.81,300
20190121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3170.88,3199.21,3170.88,3185.64,17.46,0.55,9391.50,1055.37,300
20190122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3181.95,3181.95,3135.34,3143.32,-42.32,-1.33,7299.05,781.51,300
20190123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3136.10,3157.63,3131.87,3141.05,-2.26,-0.07,5987.05,626.70,300
20190124,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3146.60,3165.63,3125.30,3158.78,17.73,0.56,7293.46,809.64,300
20190125,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3165.18,3203.17,3164.41,3184.47,25.69,0.81,8396.77,932.08,300
20190128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3203.12,3228.87,3174.72,3183.78,-0.69,-0.02,8262.24,973.71,300
20190129,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3177.26,3200.99,3148.23,3193.97,10.19,0.32,7765.83,859.44,300
20190130,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3181.66,3202.90,3167.89,3168.48,-25.49,-0.80,6374.65,730.05,300
20190131,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3182.70,3216.07,3178.01,3201.63,33.15,1.05,8624.78,975.10,300
20190201,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3225.73,3247.50,3207.72,3247.40,45.76,1.43,8201.96,947.66,300
20190211,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3239.81,3307.06,3239.81,3306.47,59.08,1.82,9881.84,1147.52,300
20190212,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3306.35,3335.36,3298.63,3330.34,23.86,0.72,12223.25,1228.34,300
20190213,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3337.78,3405.58,3329.14,3397.03,66.69,2.00,16382.83,1688.66,300
20190214,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3392.85,3415.40,3381.98,3402.14,5.11,0.15,15112.73,1386.49,300
